City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
194,batagay-alyta,RU,2022-02-18 05:16:37,67.8006,130.4114,-14.75,83,76,1.83
195,tsogni,GA,2022-02-18 05:16:37,-2.7942,10.0988,76.96,84,100,2.46
196,makat,KZ,2022-02-18 05:16:38,47.6469,53.3463,29.59,81,8,15.99
197,ayan,RU,2022-02-18 05:16:38,56.45,138.1667,14.49,59,100,0.22
198,alice springs,AU,2022-02-18 05:16:38,-23.7,133.8833,85.55,30,0,12.66
199,dongfeng,CN,2022-02-18 05:16:39,42.6403,125.5118,22.01,79,100,15.5
200,bintulu,MY,2022-02-18 05:16:39,3.1667,113.0333,86.41,70,20,5.75
201,mahebourg,MU,2022-02-18 05:16:40,-20.4081,57.7,83.25,74,75,13.8
202,ondjiva,AO,2022-02-18 05:16:40,-17.0667,15.7333,64.72,91,74,5.32
203,iralaya,HN,2022-02-18 05:16:40,15.0,-83.2333,77.49,81,1,11.05
204,marsa matruh,EG,2022-02-18 05:16:41,31.3525,27.2453,56.17,76,100,9.19
205,bathsheba,BB,2022-02-18 05:16:41,13.2167,-59.5167,75.81,83,75,19.57
206,flin flon,CA,2022-02-18 05:16:00,54.7682,-101.865,-7.6,96,100,4.14
207,kysyl-syr,RU,2022-02-18 05:16:42,63.8986,122.7617,-7.58,89,78,5.39
208,mikuni,JP,2022-02-18 05:16:42,36.2171,136.1519,37.31,58,70,9.31
209,trinidad,BO,2022-02-18 05:16:42,-14.8333,-64.9,75.09,97,92,3.67
210,largo,US,2022-02-18 05:16:24,27.9095,-82.7873,71.6,86,40,11.5
211,cockburn town,TC,2022-02-18 05:16:43,21.4612,-71.1419,77.29,77,3,19.55
212,lumphat,KH,2022-02-18 05:16:44,13.4878,106.9816,99.18,35,76,2.42
213,georgetown,MY,2022-02-18 05:16:35,5.4112,100.3354,91.33,67,20,8.05
214,yellowknife,CA,2022-02-18 05:16:44,62.456,-114.3525,-13.59,82,0,16.11
215,torbay,CA,2022-02-18 05:16:45,47.6666,-52.7314,46.58,88,100,29.93
216,at-bashi,KG,2022-02-18 05:16:45,41.1702,75.8106,13.1,71,9,3.18
217,douentza,ML,2022-02-18 05:16:45,14.9951,-2.9517,68.81,19,97,6.11
218,juneau,US,2022-02-18 05:15:05,58.3019,-134.4197,41.22,98,75,4.61
219,llata,PE,2022-02-18 05:16:46,-9.4167,-76.7833,51.93,93,100,1.03
220,long beach,US,2022-02-18 05:15:21,33.767,-118.1892,62.01,51,0,3.0
221,kizukuri,JP,2022-02-18 05:16:46,40.8061,140.3861,36.45,61,89,9.6
222,provideniya,RU,2022-02-18 05:16:47,64.3833,-173.3,10.51,61,0,22.37
223,richards bay,ZA,2022-02-18 05:16:47,-28.783,32.0377,71.6,85,100,5.23
224,banjar,ID,2022-02-18 05:16:48,-8.19,114.9675,89.46,72,32,6.15
225,viedma,AR,2022-02-18 05:16:48,-40.8135,-62.9967,61.86,58,0,16.42
226,itaituba,BR,2022-02-18 05:16:48,-4.2761,-55.9836,71.29,99,93,1.01
227,sawakin,SD,2022-02-18 05:16:49,19.1059,37.3321,69.76,73,5,1.19
228,coquimbo,CL,2022-02-18 05:16:49,-29.9533,-71.3436,62.33,88,0,3.44
229,nouadhibou,MR,2022-02-18 05:16:50,20.931,-17.0347,66.18,34,100,14.97
230,terra boa,BR,2022-02-18 05:16:50,-23.7681,-52.4442,63.99,84,83,4.14
231,ailigandi,PA,2022-02-18 05:16:51,9.2333,-78.0167,78.46,84,100,9.78
232,dikson,RU,2022-02-18 05:17:51,73.5069,80.5464,-11.97,89,75,9.62
233,mitu,CO,2022-02-18 05:15:12,1.1983,-70.1733,68.85,99,90,1.21
234,mackay,AU,2022-02-18 05:16:01,-21.15,149.2,89.69,69,100,12.01
235,severo-kurilsk,RU,2022-02-18 05:17:52,50.6789,156.125,30.34,84,100,22.97
236,fraga,ES,2022-02-18 05:17:52,41.5229,0.3489,48.58,86,4,2.68
237,barrow,US,2022-02-18 05:17:53,71.2906,-156.7887,-16.58,76,100,3.44
238,sherpur,BD,2022-02-18 05:17:53,25.0188,90.0175,76.41,28,0,4.09
239,muzhi,RU,2022-02-18 05:17:53,65.3667,64.6667,12.96,96,100,4.94
240,milford,US,2022-02-18 05:17:54,41.2223,-73.0565,57.34,92,100,17.27
241,chokurdakh,RU,2022-02-18 05:17:54,70.6333,147.9167,-29.45,100,13,1.95
242,carballo,ES,2022-02-18 05:17:55,43.213,-8.691,56.01,86,99,10.2
243,storforshei,NO,2022-02-18 05:17:55,66.4043,14.5233,12.65,85,0,2.3
244,tazovskiy,RU,2022-02-18 05:17:55,67.4667,78.7,11.07,94,100,11.21
245,sorland,NO,2022-02-18 05:17:56,67.667,12.6934,32.92,63,100,8.3
246,noumea,NC,2022-02-18 05:17:56,-22.2763,166.4572,84.99,99,92,12.95
247,soyaux,FR,2022-02-18 05:17:57,45.65,0.2,51.78,91,100,6.91
248,makakilo city,US,2022-02-18 05:17:57,21.3469,-158.0858,74.95,68,75,6.91
249,flinders,AU,2022-02-18 05:17:57,-34.5833,150.8552,84.79,71,4,14.97
250,santa isabel,BR,2022-02-18 05:17:58,-23.3156,-46.2214,67.66,97,99,1.57
251,tura,IN,2022-02-18 05:17:58,25.5198,90.2201,74.14,29,0,3.2
252,kabare,CD,2022-02-18 05:17:59,-2.4683,28.8242,62.96,90,100,1.45
253,chino valley,US,2022-02-18 05:17:59,34.7575,-112.4538,41.36,33,0,3.44
254,mount isa,AU,2022-02-18 05:18:00,-20.7333,139.5,98.37,23,21,8.05
255,garowe,SO,2022-02-18 05:18:00,8.4054,48.4845,67.78,66,13,12.19
256,prainha,BR,2022-02-18 05:18:00,-1.8,-53.48,73.76,94,96,2.95
257,energetik,RU,2022-02-18 05:18:01,51.7445,58.7934,3.27,100,96,5.59
258,nizhniy odes,RU,2022-02-18 05:18:01,63.6445,54.856,24.69,93,100,11.23
259,fairbanks,US,2022-02-18 05:15:17,64.8378,-147.7164,12.16,79,100,9.22
260,tobermory,CA,2022-02-18 05:14:33,45.2501,-81.6665,14.31,85,100,21.34
261,predivinsk,RU,2022-02-18 05:18:02,57.0669,93.4378,16.84,92,100,9.13
262,bireun,ID,2022-02-18 05:18:02,5.203,96.7009,85.14,67,33,4.92
263,mandera,KE,2022-02-18 05:18:03,3.9366,41.867,79.07,62,14,6.78
264,sitka,US,2022-02-18 05:18:03,57.0531,-135.33,39.09,87,100,8.05
265,victoria,HK,2022-02-18 05:18:03,22.2855,114.1577,66.38,83,100,25.01
266,bundaberg,AU,2022-02-18 05:18:04,-24.85,152.35,87.22,58,40,11.5
267,mar del plata,AR,2022-02-18 05:18:04,-38.0023,-57.5575,64.09,76,40,13.0
268,moose factory,CA,2022-02-18 05:18:05,51.2585,-80.6094,-20.2,76,0,5.75
269,novobiryusinskiy,RU,2022-02-18 05:18:05,56.9578,97.7076,10.85,91,100,6.98
270,los llanos de aridane,ES,2022-02-18 05:18:06,28.6585,-17.9182,58.75,53,75,8.05
271,raul soares,BR,2022-02-18 05:18:06,-20.1022,-42.4519,69.62,95,97,1.99
272,pisco,PE,2022-02-18 05:18:06,-13.7,-76.2167,69.85,78,0,4.61
273,celestun,MX,2022-02-18 05:18:05,20.8667,-90.4,77.14,75,7,13.78
274,ha tinh,VN,2022-02-18 05:18:07,18.3333,105.9,76.96,82,99,4.34
275,talnakh,RU,2022-02-18 05:18:07,69.4865,88.3972,-0.8,96,99,12.82
276,olafsvik,IS,2022-02-18 05:18:08,64.8945,-23.7142,29.25,70,100,9.8
277,innisfail,AU,2022-02-18 05:16:00,-17.5333,146.0333,80.89,87,92,8.77
278,caravelas,BR,2022-02-18 05:17:53,-17.7125,-39.2481,75.65,91,100,5.32
279,hasaki,JP,2022-02-18 05:18:09,35.7333,140.8333,54.28,35,24,18.25
280,maneadero,MX,2022-02-18 05:18:09,31.7167,-116.5667,58.19,27,0,7.23
