City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Cabedelo,BR,-6.9811,-34.8339,84.87,71,4,11.52,clear sky
174,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,85,100,13.8,light snow
175,Katrineholm,SE,58.9959,16.2072,26.04,97,100,3.0,overcast clouds
176,Antsohihy,MG,-14.8796,47.9875,74.46,96,100,6.13,overcast clouds
177,Geraldton,AU,-28.7667,114.6,73.81,78,40,16.11,scattered clouds
178,Lagoa,PT,39.05,-27.9833,57.72,79,100,17.94,overcast clouds
179,Rodez,FR,44.5,2.5833,46.08,87,100,6.91,overcast clouds
180,Komsomolskiy,UZ,40.4272,71.7189,47.12,39,100,9.22,overcast clouds
181,Bengkulu,ID,-3.8004,102.2655,75.74,87,100,4.54,overcast clouds
182,Ust-Omchug,RU,61.15,149.6333,-41.3,95,39,2.26,scattered clouds
183,Kahului,US,20.8947,-156.47,81.66,73,20,16.11,few clouds
184,Nakkila,FI,61.3667,22.0,12.09,92,0,3.44,clear sky
185,Glencoe,ZA,-28.1783,30.147,63.46,94,66,5.93,light rain
186,Husavik,IS,66.0449,-17.3389,30.11,74,100,7.31,overcast clouds
187,Havre-Saint-Pierre,CA,50.2334,-63.5986,1.99,65,100,4.61,overcast clouds
188,Hilo,US,19.7297,-155.09,76.8,82,75,3.44,light rain
189,Vao,NC,-22.6667,167.4833,80.02,79,56,12.59,broken clouds
190,Lhokseumawe,ID,5.1801,97.1507,76.06,86,73,3.85,broken clouds
191,Payo,ID,-3.7508,103.6372,72.64,97,98,1.77,overcast clouds
192,Necochea,AR,-38.5473,-58.7368,72.03,70,8,11.72,clear sky
193,Vila Velha,BR,-20.3297,-40.2925,82.35,77,40,17.27,scattered clouds
194,Codrington,AU,-38.2667,141.9667,54.68,80,0,4.47,clear sky
195,Horsham,GB,51.064,-0.3272,48.25,72,0,5.75,clear sky
196,Saint-Honore,CA,48.5334,-71.0824,5.59,84,100,14.97,light snow
197,Fare,PF,-16.7,-151.0167,81.21,71,88,12.91,overcast clouds
198,Wanning,CN,18.8003,110.3967,55.08,93,100,16.2,overcast clouds
199,Nhulunbuy,AU,-12.2333,136.7667,75.81,94,97,0.0,overcast clouds
200,Mount Isa,AU,-20.7333,139.5,64.17,63,1,5.75,clear sky
201,Okhotsk,RU,59.3833,143.3,-12.14,72,0,16.53,clear sky
202,Taltal,CL,-25.4,-70.4833,69.64,71,23,7.23,few clouds
203,Namibe,AO,-15.1961,12.1522,76.62,81,100,6.17,overcast clouds
204,Cabo San Lucas,MX,22.8909,-109.9124,80.51,60,0,8.05,clear sky
205,Ixtapa,MX,20.7,-105.2,78.03,65,0,12.66,clear sky
206,Fallon,US,39.4735,-118.7774,33.67,54,75,5.75,broken clouds
207,Salalah,OM,17.0151,54.0924,80.69,18,0,5.75,clear sky
208,Pavlogradka,RU,54.2024,73.5592,26.37,92,100,10.16,overcast clouds
209,Mokhsogollokh,RU,61.4681,128.9203,-13.2,100,98,1.25,overcast clouds
210,Puerto Baquerizo Moreno,EC,-0.9,-89.6,79.79,83,40,6.91,scattered clouds
211,Leningradskiy,RU,69.3833,178.4167,-19.25,97,100,12.48,overcast clouds
212,Lompoc,US,34.6391,-120.4579,58.41,73,40,14.97,scattered clouds
213,Katsuura,JP,35.1333,140.3,38.19,49,35,10.18,scattered clouds
214,Aklavik,CA,68.2191,-135.0107,13.03,78,100,2.3,light snow
215,Shigony,RU,53.3875,48.6777,34.56,98,100,17.05,overcast clouds
216,Morro Bay,US,35.3658,-120.8499,57.27,68,39,8.01,scattered clouds
217,Udachnyy,RU,66.4167,112.4,2.12,90,95,8.57,overcast clouds
218,Mount Gambier,AU,-37.8333,140.7667,48.11,100,7,3.44,mist
219,Pathalgaon,IN,22.5667,83.4667,60.46,25,0,4.5,clear sky
220,Riyadh,SA,24.6877,46.7219,57.34,22,0,6.06,clear sky
221,Kabompo,ZM,-13.5927,24.2008,66.2,94,100,2.04,light rain
222,Beloha,MG,-25.1667,45.05,76.75,82,100,18.39,overcast clouds
223,Moyobamba,PE,-6.05,-76.9667,76.91,77,32,2.64,scattered clouds
224,Tirumullaivasal,IN,11.2333,79.8333,76.86,78,2,8.23,clear sky
225,Surt,LY,31.2089,16.5887,56.84,57,3,29.53,clear sky
226,Guilin,CN,25.2819,110.2864,33.91,91,80,4.52,broken clouds
227,Kochi,IN,9.9399,76.2602,75.18,88,6,4.9,clear sky
228,Darovskoy,RU,58.77,47.9564,33.42,89,100,11.61,overcast clouds
229,Touros,BR,-5.1989,-35.4608,86.9,73,2,13.11,clear sky
230,Waipawa,NZ,-41.4122,175.5153,59.45,81,100,13.06,overcast clouds
231,San Patricio,US,28.017,-97.5169,94.01,40,0,12.48,clear sky
232,Mahebourg,MU,-20.4081,57.7,79.25,94,40,16.11,scattered clouds
233,Mehamn,NO,71.0357,27.8492,24.71,63,40,10.36,scattered clouds
234,Port Elizabeth,ZA,-33.918,25.5701,64.69,82,0,3.44,clear sky
235,Changping,CN,40.2186,116.2197,13.64,60,0,7.45,clear sky
236,Zyryanka,RU,65.75,150.85,-42.23,100,51,5.5,broken clouds
237,Margate,GB,51.3813,1.3862,47.03,68,8,3.0,clear sky
238,Sorumsand,NO,59.9851,11.2398,29.48,94,100,2.44,light snow
239,Monroe,US,43.1501,-77.6831,50.34,92,100,10.36,moderate rain
240,Adrar,MR,20.5022,-10.0711,80.49,9,79,11.01,broken clouds
241,Dieppe,FR,49.75,1.1667,48.38,90,12,1.01,few clouds
242,Shagonar,RU,51.5333,92.8,-12.44,99,94,2.39,overcast clouds
243,Svetlyy,RU,54.675,20.1347,34.97,79,94,9.1,overcast clouds
244,Labuhan,ID,-6.8844,112.2051,76.96,82,100,5.46,overcast clouds
245,Chumikan,RU,54.7183,135.315,3.15,80,95,21.36,overcast clouds
246,Gueret,FR,46.1667,1.8667,45.23,97,100,5.41,overcast clouds
247,Kieta,PG,-6.2167,155.6333,80.78,81,100,2.37,light rain
248,Santo Nino,PH,6.435,124.6975,70.65,89,83,1.14,broken clouds
249,Maningrida,AU,-12.0667,134.2667,79.11,83,98,8.16,overcast clouds
250,Rock Springs,US,41.5875,-109.2029,12.04,62,0,19.57,clear sky
251,Dunedin,NZ,-45.8742,170.5036,54.88,73,89,4.21,overcast clouds
252,Sabang,ID,5.8933,95.3214,81.97,73,100,6.91,overcast clouds
253,Hasaki,JP,35.7333,140.8333,28.8,43,89,11.72,overcast clouds
254,La Palma,US,33.8464,-118.0467,62.91,55,75,19.57,broken clouds
255,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,94,75,3.38,broken clouds
256,Dingle,PH,10.9995,122.6711,72.99,94,100,7.61,overcast clouds
257,Pisco,PE,-13.7,-76.2167,77.05,69,75,5.75,broken clouds
258,Jalu,LY,29.0331,21.5482,60.93,58,85,8.08,overcast clouds
259,Puerto Leguizamo,CO,-0.1934,-74.7819,95.72,28,77,3.51,broken clouds
260,Beringovskiy,RU,63.05,179.3167,-13.29,98,24,6.42,few clouds
261,Katherine,AU,-14.4667,132.2667,75.52,88,100,2.3,overcast clouds
262,Siguiri,GN,11.6667,-9.5,83.91,12,4,1.74,clear sky
263,Sri Aman,MY,1.2376,111.4621,77.09,94,100,0.0,overcast clouds
264,Korla,CN,41.7597,86.1469,29.25,48,0,1.97,clear sky
265,De-Kastri,RU,51.4667,140.7833,-5.84,99,77,8.23,broken clouds
266,Bulaevo,KZ,54.9056,70.4439,21.79,94,98,7.74,overcast clouds
267,Coquimbo,CL,-29.9533,-71.3436,69.53,64,0,13.8,clear sky
268,Maniitsoq,GL,65.4167,-52.9,-9.51,95,100,12.82,overcast clouds
269,Rockport,US,28.0206,-97.0544,89.71,85,20,17.27,haze
270,Basco,PH,20.4487,121.9702,75.18,87,66,19.28,broken clouds
271,Svetlaya,RU,46.5389,138.3297,6.12,78,43,10.8,scattered clouds
272,Lata,PT,40.1629,-8.3327,59.41,53,0,4.27,clear sky
273,Yar-Sale,RU,66.8333,70.8333,3.09,95,100,7.56,overcast clouds
274,Leiyang,CN,26.4024,112.8591,34.86,100,100,4.09,overcast clouds
275,Olafsvik,IS,64.8945,-23.7142,32.49,52,100,25.64,overcast clouds
276,Vanimo,PG,-2.6741,141.3028,76.06,89,100,4.18,overcast clouds
277,Padang,ID,-0.9492,100.3543,76.98,89,98,3.24,overcast clouds
278,Zhezkazgan,KZ,47.8043,67.7144,10.4,95,12,6.08,few clouds
279,Nemuro,JP,43.3236,145.575,19.02,71,95,17.74,overcast clouds
280,Ibra,OM,22.6906,58.5334,63.57,66,0,2.21,clear sky
281,Walvis Bay,NA,-22.9575,14.5053,69.1,88,9,4.61,clear sky
282,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,84.42,67,87,1.34,moderate rain
283,Bilibino,RU,68.0546,166.4372,-41.39,100,96,0.56,overcast clouds
284,Kondinskoye,RU,59.6481,67.41,11.71,97,68,6.87,broken clouds
285,Half Moon Bay,US,37.4636,-122.4286,55.24,57,75,27.63,broken clouds
286,Kropotkin,RU,45.4375,40.5756,45.27,75,9,7.38,clear sky
287,Qasigiannguit,GL,68.8193,-51.1922,-0.15,98,100,8.61,overcast clouds
288,Baiyin,CN,36.5583,104.2081,20.28,74,2,2.42,clear sky
289,Butaritari,KI,3.0707,172.7902,81.16,81,100,19.53,light rain
290,Carutapera,BR,-1.195,-46.02,78.37,88,50,8.25,moderate rain
291,Monze,ZM,-16.2833,27.4833,65.95,87,57,2.57,broken clouds
292,Zlitan,LY,32.4674,14.5687,56.37,61,0,29.33,clear sky
293,Anadyr,RU,64.75,177.4833,-8.9,77,18,13.42,few clouds
294,Da Nang,VN,16.0678,108.2208,66.18,68,75,6.91,broken clouds
295,Marawi,PH,7.9986,124.2928,62.65,71,95,3.44,overcast clouds
296,Chara,RU,56.9064,118.2631,-0.98,86,41,1.07,scattered clouds
297,Camacha,PT,33.0833,-16.3333,61.56,82,40,29.93,scattered clouds
298,Iberia,US,29.9502,-91.7507,80.58,73,100,18.41,overcast clouds
299,Itoman,JP,26.1247,127.6694,60.82,94,100,10.36,overcast clouds
300,Baracoa,CU,20.3467,-74.4958,79.12,70,10,13.53,clear sky
301,Anloga,GH,5.7947,0.8973,82.62,82,100,10.87,overcast clouds
302,Pandan,PH,14.0453,124.1694,78.73,80,100,16.67,light rain
303,Buala,SB,-8.145,159.5921,81.63,80,100,4.29,overcast clouds
304,Takoradi,GH,4.8845,-1.7554,80.58,85,20,12.24,few clouds
305,Miranda,CO,3.2499,-76.2281,84.65,74,93,1.3,overcast clouds
306,Dzidzantun,MX,21.25,-89.05,93.43,29,0,7.27,clear sky
307,Port Hedland,AU,-20.3167,118.5667,82.45,94,97,8.05,overcast clouds
308,Kamien Pomorski,PL,53.9685,14.7726,43.5,93,100,16.55,overcast clouds
309,Kudahuvadhoo,MV,2.6708,72.8944,81.3,70,4,8.7,clear sky
310,Verkhnyaya Inta,RU,65.9811,60.3094,13.39,96,98,3.78,overcast clouds
311,Mangalia,RO,43.8,28.5833,49.08,76,100,12.62,overcast clouds
312,San Cristobal,VE,7.7669,-72.225,78.98,47,98,1.72,overcast clouds
313,Port Moresby,PG,-9.4431,147.1797,74.62,94,100,11.5,overcast clouds
314,Male,MV,4.1748,73.5089,82.35,78,20,6.91,few clouds
315,Ozubulu,NG,5.9567,6.849,82.38,53,82,7.16,broken clouds
316,Asilah,MA,35.465,-6.0348,62.56,80,100,13.49,overcast clouds
317,Juneau,US,58.3019,-134.4197,30.25,71,100,14.97,overcast clouds
318,Zhigansk,RU,66.7697,123.3711,-10.44,97,100,18.07,overcast clouds
319,Huautla,MX,21.0333,-98.2833,83.57,49,0,5.97,clear sky
320,Lazaro Cardenas,MX,17.9583,-102.2,83.53,59,0,10.47,clear sky
321,Taywarah,AF,33.35,64.4167,19.44,85,26,2.82,scattered clouds
322,Kyabram,AU,-36.3167,145.05,66.87,70,55,8.97,broken clouds
323,Hounde,BF,11.5,-3.5167,82.94,7,53,4.74,broken clouds
324,Xinzhi,CN,36.4989,111.7047,32.9,31,6,4.5,clear sky
325,Bonthe,SL,7.5264,-12.505,78.44,83,26,9.86,scattered clouds
326,Dali,CN,25.7,100.1833,34.68,94,53,3.91,broken clouds
327,Paita,PE,-5.0892,-81.1144,86.56,65,18,14.61,few clouds
328,Masvingo,ZW,-20.0637,30.8277,67.44,60,29,4.5,scattered clouds
329,Newport,GB,51.5877,-2.9984,46.94,82,4,8.48,clear sky
330,Jasper,US,37.2001,-94.3502,24.24,86,100,12.66,overcast clouds
331,Zykovo,RU,55.9519,93.1461,14.99,91,96,3.91,overcast clouds
332,Grajau,BR,-5.8194,-46.1386,77.61,93,100,3.24,light rain
333,Ossora,RU,59.2353,163.0719,-2.72,79,100,10.45,overcast clouds
334,Vorontsovka,RU,50.6132,40.3549,35.58,98,96,8.86,overcast clouds
335,Port-Gentil,GA,-0.7193,8.7815,82.36,83,20,6.91,few clouds
336,Abu Samrah,SY,35.3029,37.1841,51.78,68,15,1.1,few clouds
337,Zhangye,CN,38.9342,100.4517,22.28,42,8,1.41,clear sky
338,Bethel,US,41.3712,-73.414,53.69,90,100,6.91,moderate rain
339,Hurghada,EG,27.2574,33.8129,64.78,42,49,5.1,scattered clouds
340,Sierra Vista,US,31.5545,-110.3037,62.49,17,0,20.71,clear sky
341,Portland,US,45.5234,-122.6762,39.88,47,20,19.57,few clouds
342,Ornes,NO,66.8689,13.7078,20.84,64,100,10.36,overcast clouds
343,Ustka,PL,54.5805,16.8619,36.59,80,100,12.68,overcast clouds
